Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.37     0.00        1     0.00    45.01  std::vector<Coffee, std::allocator<Coffee> >::~vector()
  0.00      2.37     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      2.37     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      2.37     0.00        1     0.00     0.00  Coffee* std::__uninitialized_default_n<Coffee*, unsigned long>(Coffee*, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  Coffee* std::__uninitialized_default_n_a<Coffee*, unsigned long, Coffee>(Coffee*, unsigned long, std::allocator<Coffee>&)
  0.00      2.37     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.00      2.37     0.00        1     0.00    45.01  void std::_Destroy<Coffee*, Coffee>(Coffee*, Coffee*, std::allocator<Coffee>&)
  0.00      2.37     0.00        1     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      2.37     0.00        1     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2023 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.42% of 2.37 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    2.37                 main [1]
                0.00    1.49  500000/500000      move(Coffee&, int, int, int) [7]
                0.00    0.84  500000/1000000     int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [4]
                0.00    0.05       1/1           std::vector<Coffee, std::allocator<Coffee> >::~vector() [14]
                0.00    0.00       1/500001      std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [9]
                0.00    0.00  500000/560361      std::vector<Coffee, std::allocator<Coffee> >::operator[](unsigned long) [26]
                0.00    0.00     100/47920       std::vector<double, std::allocator<double> >::operator[](unsigned long) [34]
                0.00    0.00      50/50          calculos(std::vector<Coffee, std::allocator<Coffee> >&, int, int, int) [81]
                0.00    0.00      50/100         std::vector<double, std::allocator<double> >::~vector() [70]
                0.00    0.00       4/4           std::vector<int, std::allocator<int> >::push_back(int const&) [100]
                0.00    0.00       4/4           std::vector<int, std::allocator<int> >::operator[](unsigned long) [101]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector() [153]
                0.00    0.00       1/1           std::allocator<Coffee>::allocator() [123]
                0.00    0.00       1/1           std::vector<Coffee, std::allocator<Coffee> >::vector(unsigned long, std::allocator<Coffee> const&) [152]
                0.00    0.00       1/3           std::allocator<Coffee>::~allocator() [104]
                0.00    0.00       1/500001      std::uniform_int_distribution<int>::uniform_int_distribution(int, int) [28]
                0.00    0.00       1/1           inicial(std::vector<Coffee, std::allocator<Coffee> >&, int) [121]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::~vector() [154]
-----------------------------------------------
